INFO:DLIB: Writing log to: ./log.txt
INFO:ENGINE: Loading data from: build/default
INFO:ENGINE: Initialised sound device 'default'

DEBUG:SCRIPT: load main
DEBUG:SCRIPT: table["abilities"][2]["name"] = "Kick"
DEBUG:SCRIPT: table["abilities"][2]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["abilities"][3]["attr"] = "STR"
DEBUG:SCRIPT: table["abilities"][3]["id"] = 3
DEBUG:SCRIPT: table["abilities"][3]["targets"] = "RANDOM:5:{1,3,5}"
DEBUG:SCRIPT: table["abilities"][3]["element"] = "PHY"
DEBUG:SCRIPT: table["abilities"][3]["cast"] = 2.5
DEBUG:SCRIPT: table["abilities"][3]["mult"] = 100
DEBUG:SCRIPT: table["abilities"][3]["type"] = "Ranged"
DEBUG:SCRIPT: table["abilities"][3]["name"] = "Throw"
DEBUG:SCRIPT: table["abilities"][3]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["id"] = "testEnemy"
DEBUG:SCRIPT: table["turnOrder"][1]["action"] = "Skip"
DEBUG:SCRIPT: table["turnOrder"][1]["turn"] = 1
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["attr"] = "STR"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["id"] = 1
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["targets"] = "RANDOM:1:{2,4}"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["element"] = "PHY"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["cast"] = 5
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["mult"] = 100
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["type"] = "Melee"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["name"] = "Punch"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][1]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["attr"] = "AGI"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["id"] = 2
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["targets"] = "ALL"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["element"] = "PHY"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["cast"] = 4.5
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["mult"] = 200
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["type"] = "Melee"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["name"] = "Kick"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][2]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["attr"] = "STR"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["id"] = 3
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["targets"] = "RANDOM:5:{1,3,5}"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["element"] = "PHY"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["cast"] = 2.5
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["mult"] = 100
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["type"] = "Ranged"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["name"] = "Throw"
DEBUG:SCRIPT: table["turnOrder"][2]["actionVal"][3]["elemtype"] = "NAT"
DEBUG:SCRIPT: table["turnOrder"][2]["action"] = "Attack"
DEBUG:SCRIPT: table["turnOrder"][2]["turn"] = 2
DEBUG:SCRIPT: table["turnOrder"][2]["chance"][1] = 0.1
DEBUG:SCRIPT: table["turnOrder"][2]["chance"][2] = 0.4
DEBUG:SCRIPT: table["turnOrder"][2]["chance"][3] = 0.5
DEBUG:SCRIPT: testEnemy	mob
DEBUG:SCRIPT: ===================Combat Result
DEBUG:SCRIPT: source: Melee[AutoAttack] from Lexwin with Tooth of Eranikus against testEnemy
DEBUG:SCRIPT: table["crit"] = 0
DEBUG:SCRIPT: table["dodge"] = 0
DEBUG:SCRIPT: table["hit"] = 0
DEBUG:SCRIPT: table["block"] = 0
DEBUG:SCRIPT: table["miss"] = 100
DEBUG:SCRIPT: table["glancingBlow"] = 0
DEBUG:SCRIPT: table["crushingBlow"] = 0
DEBUG:SCRIPT: table["parry"] = 0
DEBUG:SCRIPT: hit: 0
DEBUG:SCRIPT: result: miss [0/0 blocked]
DEBUG:SCRIPT: multiplier: 0, reduction: 0
DEBUG:SCRIPT: damage before mitigation: 0, after: 0
DEBUG:SCRIPT: proc result: 0 [0 blocked]
DEBUG:SCRIPT: ===================
DEBUG:SCRIPT: ===================Combat Result
DEBUG:SCRIPT: source: Melee[AutoAttack] from Lexwin with Dawn's Edge against testEnemy
DEBUG:SCRIPT: table["crit"] = 0
DEBUG:SCRIPT: table["dodge"] = 0
DEBUG:SCRIPT: table["hit"] = 0
DEBUG:SCRIPT: table["block"] = 0
DEBUG:SCRIPT: table["miss"] = 100
DEBUG:SCRIPT: table["glancingBlow"] = 0
DEBUG:SCRIPT: table["crushingBlow"] = 0
DEBUG:SCRIPT: table["parry"] = 0
DEBUG:SCRIPT: hit: 0
DEBUG:SCRIPT: result: miss [0/0 blocked]
DEBUG:SCRIPT: multiplier: 0, reduction: 0
DEBUG:SCRIPT: damage before mitigation: 0, after: 0
DEBUG:SCRIPT: proc result: 0 [0 blocked]
DEBUG:SCRIPT: ===================
DEBUG:SCRIPT: table["attackTable"]["crit"] = 0
DEBUG:SCRIPT: table["attackTable"]["dodge"] = 0
DEBUG:SCRIPT: table["attackTable"]["hit"] = 0
DEBUG:SCRIPT: table["attackTable"]["block"] = 0
DEBUG:SCRIPT: table["attackTable"]["miss"] = 100
DEBUG:SCRIPT: table["attackTable"]["glancingBlow"] = 0
DEBUG:SCRIPT: table["attackTable"]["crushingBlow"] = 0
DEBUG:SCRIPT: table["attackTable"]["parry"] = 0
DEBUG:SCRIPT: table["hitChance"] = 0
DEBUG:SCRIPT: table["damageBlocked"]["blocked"] = 0
DEBUG:SCRIPT: table["damageBlocked"]["dmg"] = 0
DEBUG:SCRIPT: table["damageReduction"]["holy"] = 0
DEBUG:SCRIPT: table["damageReduction"]["shadow"] = 0
DEBUG:SCRIPT: table["damageReduction"]["frost"] = 0
DEBUG:SCRIPT: table["damageReduction"]["phy"] = 0
DEBUG:SCRIPT: table["damageReduction"]["arcane"] = 0
DEBUG:SCRIPT: table["damageReduction"]["fire"] = 0
DEBUG:SCRIPT: table["damageReduction"]["nature"] = 0
DEBUG:SCRIPT: table["procDamage"]["holy"] = 0
DEBUG:SCRIPT: table["procDamage"]["shadow"] = 0
DEBUG:SCRIPT: table["procDamage"]["frost"] = 0
DEBUG:SCRIPT: table["procDamage"]["phy"] = 0
DEBUG:SCRIPT: table["procDamage"]["arcane"] = 0
DEBUG:SCRIPT: table["procDamage"]["fire"] = 0
DEBUG:SCRIPT: table["procDamage"]["nature"] = 0
DEBUG:SCRIPT: table["procResult"]["blocked"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["holy"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["shadow"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["frost"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["phy"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["arcane"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["fire"] = 0
DEBUG:SCRIPT: table["procResult"]["damage"]["nature"] = 0
DEBUG:SCRIPT: table["damageRolls"]["holy"] = 0
DEBUG:SCRIPT: table["damageRolls"]["shadow"] = 0
DEBUG:SCRIPT: table["damageRolls"]["frost"] = 0
DEBUG:SCRIPT: table["damageRolls"]["phy"] = 0
DEBUG:SCRIPT: table["damageRolls"]["arcane"] = 0
DEBUG:SCRIPT: table["damageRolls"]["fire"] = 0
DEBUG:SCRIPT: table["damageRolls"]["nature"] = 0
DEBUG:SCRIPT: table["attackResult"] = "miss"
DEBUG:SCRIPT: table["damageMult"] = 0
DEBUG:SCRIPT: table["damageDone"]["holy"] = 0
DEBUG:SCRIPT: table["damageDone"]["shadow"] = 0
DEBUG:SCRIPT: table["damageDone"]["frost"] = 0
DEBUG:SCRIPT: table["damageDone"]["phy"] = 0
DEBUG:SCRIPT: table["damageDone"]["arcane"] = 0
DEBUG:SCRIPT: table["damageDone"]["fire"] = 0
DEBUG:SCRIPT: table["damageDone"]["nature"] = 0
DEBUG:SCRIPT: table["procBlocked"] = 0
DEBUG:SCRIPT: table["combatResult"] = 0
DEBUG:SCRIPT: saving
INFO:DLIB: SSDP: Done on address 192.168.178.26
